; Table 9-1. D14: Pascal Object LOC
; Personal Software Project
; data_x, data_y
; For Chitest, only data_x is used
8.67, 26
7.80, 39
8.67, 26  
7.57, 53  
5.67, 17  
8.67, 26  
7.33, 22  
8.83, 53  
10.33, 31  
6.00, 18  
8.33, 25  
7.50, 30  
14.00, 42  
9.00, 45  
10.00, 40  
39.00, 195  
38.00, 114  
21.75, 87  
29.00, 87  
8.33, 25  
13.25, 53  
11.75, 47  
5.80, 58  
7.00, 49  
14.67, 88  
16.40, 82  
5.75, 46  
13.75, 55  
10.67, 32  
6.00, 18  
29.67, 89  
6.00, 18  
12.00, 36  
40.25, 161  
37.33, 112  
22.25, 89  
28.33, 85  
20.50, 82  
16.40, 82  
7.67, 46  
36.80, 184  
24.17, 145  
19.20, 96  
41.00, 123  
30.14, 211  
50.63, 405  
14.50, 58  
52.80, 264  
19.33, 58  
25.42, 305
